央视直播,#genre#
Avril Lavigne - Rock N Roll 官方完整版-[145M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgrJGe4wUox6vtygE.mp4
Dua Lipa - New Rules (Official Music Video)-[54M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgobjW4gUogMPg-QQ.mp4
Despacito - Luis Fonsi(ft. Justin Bieber) - Laysha(K-POP 레이샤)-[23M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg57XW4gUoz5DxjwM.mp4
David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha &amp; Afrojack-[52M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyrXW4gUo4vqo_gE.mp4
Clean Bandit - Baby feat. Marina &amp; Luis Fonsi [Official Video]-[47M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgn7XW4gUomcn48QI.mp4
Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna-[60M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6LTW4gUo5N3ogwQ.mp4
Becky G_ Natti Natasha - Sin Pijama (Official Video)-[72M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgtrTW4gUous_5gQM.mp4
Becky G - Mayores (Official Music Video) ft. Bad Bunny-[34M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAghrTW4gUojKzXlwI.mp4
Andrea ft. Mario Joy - Miss California (Official video)-[44M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2bPW4gUokLKHuwU.mp4
Ханна - Потеряла голову-[67M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgncPV4gUolN6gkAM.mp4
ЛАЙК.А - Адреналином-[72M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2cLV4gUo1Z28xgE.mp4
ZAYN、Taylor Swift - I Don&#39;t Wanna Live Forever-[81M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgj8LV4gUopabJ2gY.mp4
Years &amp; Years、Tove Lo - Desire-[87M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2sHV4gUomP2Uggc.mp4
Xonia - Slow-[94M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqsHV4gUo6NfRowE.mp4
tulisa - living without you-[86M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyMDV4gUoi9mg9wE.mp4
Trey Songz - Slow Motion-[89M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-L-V4gUo-IalgAc.mp4
Traci_Lords-Last_Drag-[93M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyL-V4gUo9NzyKw.mp4
Tokio Hotel - Love Who Loves You Back-[58M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgi7-V4gUoxMe8SA.mp4
Tinashe、Chris Brown - Player-[58M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2r7V4gUo-uKZ7AM.mp4
Tinashe - Superlove-[105M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgp77V4gUo5KO8vAQ.mp4
sophia del carmen - lipstick-[96M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-r3V4gUoprev1wY.mp4
Snoop Dogg、Ljupka Stevic - OLE OLE-[81M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgs73V4gUokteoFg.mp4
Selena Gomez、A$AP Rocky - Good for  You-[49M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAghr3V4gUo9P3txgc.mp4
Reigan - Feels Like Heaven-[53M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3LzV4gUohtG5-gY.mp4
RaeLynn - God Made Girls-[96M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgrrzV4gUo-rHb0gE.mp4
prince royce、jennifer lopez、pitbull - back it up-[111M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7rvV4gUomO_GqwY.mp4
pitbull、chris brown - fun-[118M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvbvV4gUope67-wY.mp4
Omi、AronChupa - Drop In The Ocean-[48M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgiLvV4gUogODByQQ.mp4
nicole stroiny - magic-[70M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4brV4gUootWxigc.mp4
Nicki Minaj - The Night Is Still Young-[91M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgubrV4gUomaLpqQE.mp4
Nadia Dolce - Remember-[134M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggrrV4gUotLCP8QY.mp4
Milica Pavlovic - Selfie-[108M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgj7nV4gUonJnwygY.mp4
milica pavlovic - demantujem-[86M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAglbbV4gUomaGq8gU.mp4
mey green、bob garcia - is this love-[86M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0LXV4gUoweaZ4AM.mp4
kieda budini - flirt-[109M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgprXV4gUo8KbK2gc.mp4
Justin Bieber - What Do You Mean-[110M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgurTV4gUowIKVsQY.mp4
Jessi Malay - Do It-[68M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8bPV4gUoqt673AY.mp4
Inna、Yandel - In Your Eyes-[62M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpbPV4gUo6JvA8wQ.mp4
inna、eric turner - bop bop-[76M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggLPV4gUogKTq9wE.mp4
INNA - Say It With Your Body-[73M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyLLV4gUopMv79AQ.mp4
Hilary Duff - Sparks-[91M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1bHV4gUooIqQ4Qc.mp4
hilary duff - all about you-[61M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsrHV4gUogLKa4QU.mp4
giorgio moroder、kylie minogue - right here,right now-[78M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7LDV4gUozLieQA.mp4
fifth harmony、kid ink - worth it-[84M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgobDV4gUourCyjwE.mp4
fifth harmony - sledgehammer-[86M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4K-V4gUo4IWzzQE.mp4
Dimitri Vegas &amp; Like Mike、 Ne-Yo - Higher Place-[64M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgp6-V4gUozY65ngE.mp4
desi slava、nana - cotton candy-[120M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_K7V4gUo7NGmOA.mp4
Corina Smith - La Difícil-[49M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_63V4gUog9eZoQI.mp4
consuelo costin - body needs-[69M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6azV4gUoqPPz5AU.mp4
ciara - i bet-[114M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw6zV4gUoloDJ5AI.mp4
ciara -  dance like we&#39;re making love-[100M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg76vV4gUo8sGnOw.mp4
Britney Spears、Tinashe - Slumber Party-[112M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgravV4gUokMeSqQU.mp4
Beast - Freaking Cute-[107M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-KrV4gUo-6nFbw.mp4
Ariana Grande - Side To Side-[119M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgzKrV4gUoisbKkQM.mp4
Ariana Grande - Dangerous Woman-[59M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgoqrV4gUo8IG_SA.mp4
alyxx dione、jason derulo - chingalinga-[99M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg86nV4gUo5pDvzAI.mp4
推荐- ANDREA - NIKOI DRUG (RAKI TRAKI) - OFFICIAL VIDEO-[98M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAglajE4gUosOD54wY.mp4
Shakira - Try Everything (疯狂动物城)电影主题曲-[67M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8abE4gUogtq22gI.mp4
Eni Koci - Motivi Im-[92M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2qXE4gUo9obCtQU.mp4
Anton Ewald - This Could Be Something ft. Medina-[84M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg5KTE4gUo-bWn4AY.mp4
Mihai Chitu feat DOMG - In al noualea cer-[69M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqqTE4gUo07PVsgc.mp4
Leighton Meester - Heartstrings-[139M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8qPE4gUo09KPywI.mp4

MV9,#genre#
Jung Dong Ha - Oh! Love-[63M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgx6LE4gUo4uvwwgI.mp4
Janieck - Feel The Love (Sam Feldt Edit) -[64M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk6LE4gUo29aNpwM.mp4
Inked Girls  Sexy Tattoo Girls Videos  Christy Mack &amp; More-[50M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7aHE4gUo0K3NzQU.mp4
Fifth Harmony - Work from Home-[86M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgv6HE4gUo972u2wE.mp4
Z.Hera -  D island-[121M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyKvB4gUonsKPowM.mp4
Yldz Tilbe - Oynat-[123M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk6vB4gUojID_Sg.mp4
Temara Melek - Fingerprints-[83M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg36rB4gUoxtrMswQ.mp4
Su Soley skender Payda- Mebbet Hayalet-[85M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2anB4gUolsuuvQc.mp4
SKULL -  Get Rich-[128M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgo6nB4gUo7LL92QY.mp4
Foxes - Glorious-[90M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgz6fB4gUostyV7gc.mp4
Avril Lavigne艾薇儿 - Here&#39;s To Never Growing Up -[164M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8qDB4gUogPTw7wU.mp4
Ariana Grande - Into You-[70M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyaDB4gUolemE4QY.mp4
Alexandra Stan - Ecoute-[56M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgy6zA4gUo8K3Jvgc.mp4
推荐-OneRepublic - Love Runs Out-[100M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgufq-4gUo3L65ew.mp4
推荐-MIKA - Good Guys-[63M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-vm-4gUohJu48AQ.mp4
Саша Санта - Я побегу-[55M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1-S-4gUo7Pn1Fw.mp4
Veronica Vega - Pay Me-[92M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsPO-4gUoi5vP_gM.mp4
The Wanted - Walks Like Rihanna-[86M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgi-K-4gUo4KfsjQU.mp4
Selena Gomez - Same Old Love-[114M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgl_u-4gUooMLVswQ.mp4
Selena Gomez - Good For You (Explicit) ft. A$AP ROCKY-[69M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgo_m-4gUo26uUqgU.mp4
Ride Out - Kid Ink, Tyga, Wale, YG, Rich Homie Quan - Furious 7-[105M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyee-4gUo4ZT06Ac.mp4
Reyhan Karaca - Kelebek-[85M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9OW-4gUoypijKg.mp4
Pentatonix and Lindsey Stirling - Radioactive -[119M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg5t6-4gUo3IXlrQU.mp4
NIKITA - ВОДОПАДОМ-[102M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1ty-4gUoqtrAkAE.mp4
Nico Vega - Beast-[97M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg5ti-4gUo8bvNrwc.mp4
Mizgin - If I Said I&#39;m In Love-[53M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-ta-4gUosJKYiQY.mp4
Martin Solveig &amp; Sam White - +1-[72M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgztW-4gUomveQhQM.mp4
Maroon 5 - Sugar (2015)-[192M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgotW-4gUo5InbrAM.mp4
Mark Ronson ft. Bruno Mars - Uptown Funk-[138M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3tS-4gUo0eu28AQ.mp4
Maná ft. Shakira - Mi verdad -[120M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAghrW-4gUo4LPtpAQ.mp4
Madonna - Living For Love -[124M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggbG-4gUom4iklAM.mp4
Lea Michele -- On My Way -[111M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7a6-4gUo-7XtpQQ.mp4
KONGOS - Come With Me Now -[72M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsa2-4gUoyOXR1AU.mp4
Kiesza- Hideaway -[447M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_qy-4gUos-W50gM.mp4
Ke$ha - Tik Tok -[464M.mpg-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgi6y-4gUot-uZyQU.mp4
Justin Bieber - Love Me -[70M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggau-4gUowqq2jQY.mp4
Hadise - Yaz Günü -[66M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3qe-4gUogMr0wAM.mp4
Escape The Fate - One For The Money -[101M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6KO-4gUogvTumgQ.mp4
19EIGHTY7 - Get It On -[76M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8Y2-4gUo4OD59QM.mp4
Avril Lavigne - Give You What You Like -[84M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgz4a-4gUo6YmQ0gY.mp4
Arjun.ft.Arijit Singh.ft.Samira Koppikar - Mohabbat Barsa De -[53M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1IW-4gUowJ3Q5gI.mp4
Birdy - Not About Angels -[66M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8IS-4gUo2vjCrgU.mp4
Bob Sinclar - Someone Who Needs Me  -[80M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgxoS-4gUoq-ys4wU.mp4
BRIELLE - ROCKET -[106M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_4O-4gUoup_L-gM.mp4
Carrie Underwood - Something in the Water -[150M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkIO-4gUogLjbsQE.mp4
Charli XCX - SuperLove -[82M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4v__4gUojv39lQI.mp4
Charli XCX - Break The Rules -[104M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsv__4gUo_KSGxAE.mp4
Ylvis - The Fox-[101M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyJm64gUoqrbt0wc.mp4
Miley Cyrus - Adore You-[171M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgiZS64gUo3tGm3wI.mp4
Katy Perry《Wide Awake》-[1.08G.mov-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3PG54gUo_t-97gY.mp4
Leona Lewis - I See You--[290M.mkv-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqe254gUohpO5LQ.mp4
Adele - Someone Like You-[145M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgt_W54gUo_7aMoQY.mp4
Lady Gaga &amp; Machete Kills - Aura-[138M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpuO54gUo8Im93Qc.mp4
Capital Cities - Safe And Sound (2nd Ver)-[138M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9eG54gUoxJH94AU.mp4
Little Mix - Word Up!-[105M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-t_54gUotJKs-wc.mp4
Imagine Dragons - Demons-[80M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk9u54gUo3LSK3wQ.mp4
泰勒·斯威夫特 - 22 -[121M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0tS34gUo8KvgzgE.mp4
Taylor Swift - White Horse Palladia-[414M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqLm34gUo-N2b6wU.mp4
Taylor Swift - Sparks Fly (2011)-[193M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_bi34gUo3reG7QU.mp4
Sunrise Inc - Nina -[141M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkq_34gUo7Jy5_QQ.mp4
Rita Ora - How We Do -[174M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0q234gUo84bPWw.mp4
Rihanna_-_We_Found_Love-[136M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnq234gUontD48gU.mp4
Owl City &amp; Carly Rae Jepsen - Good Time-[134M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgxaq34gUohvy4pQQ.mp4
Nicole Scherzinger - Try With Me -[156M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_6i34gUozK7Klgc.mp4
Mylene Farmer - Lonely Lisa-[160M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgs6e34gUowc2lmgI.mp4
Inna - Endless- [142M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgtKO34gUo6tTexwU.mp4
泰勒斯威夫特Taylor Swift - Red -[171M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgoO_24gUo-pTRsQU.mp4
Xhensila Myrtezaj feat. Elgit Doda - LIAR-[146M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAghOy24gUoqOrE4gY.mp4
夏奇拉（Shakira）2011巴黎演唱会-哇咔哇咔 Waka Waka (This Time for Africa)-[超清现场-783M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7P_14gUosKjqpAc.mp4
夏奇拉（Shakira）2011巴黎演唱会-She Wolf-[超清现场-584M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnfu14gUo8PudLA.mp4
阿黛尔(adele)-Someone Like You-[超清现场-413M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkayy4gUo8tSy9QE.mp4
阿黛尔(adele)-set fire to the rain-[超清现场-366M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgm6qy4gUowM6P2Ac.mp4
阿黛尔(adele)-Rolling in the deep-[超清现场-447M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgl6my4gUohcv6swU.mp4
阿黛尔(adele)-Don&#39;t You Remember-[超清现场-314M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-aey4gUotf_ntgQ.mp4
Evanescence.-.[My.Immortal]-[超清-561M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-5qy4gUo9vieuwc.mp4
Beyonce（碧昂丝·吉赛尔·诺斯） - Halo-[超清-210M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9Jey4gUo4LuU2wQ.mp4
Anna.Nalick.-.[In.The.Rough]-[超清-352M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwpay4gUowr7QgAM.mp4
Taylor Swift (泰勒·斯威夫特)-you belong with me[超清现场-1.1G.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgt-yx4gUo1PHrsQY.mp4
Taylor Swift (泰勒·斯威夫特)-we are never ever getting back together[超清现场-1.5G.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggPyx4gUo0P_XHQ.mp4
Taylor Swift (泰勒·斯威夫特)-sparks fly[超清现场-1.6G.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgt-ux4gUo_NflgAE.mp4
Taylor Swift (泰勒·斯威夫特)-mean[超清现场-1.5G.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7fqx4gUogqXg1Ac.mp4
Taylor Swift (泰勒·斯威夫特)-love story[超清现场-1.1G.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgofqx4gUoiPKC-QY.mp4
OneRepublic - Counting Stars-[超清-101M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwfWx4gUotoniwAQ.mp4
Marina and The Diamonds - Primadonna-[超清-169M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg7fOx4gUouY7olwI.mp4
Kelly Clarkson-Mr. Know It All-[超清-129M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0fKx4gUokI3tGg.mp4
Kelly Clarkson - People Like Us-[超清-80M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpfKx4gUokNiFMQ.mp4
Kelly Clarkson - Catch My Breath-[超清-134M.avi-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_PGx4gUohJDMnQc.mp4
Katy Perry - Roar-[超清-188M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgl__x4gUowPb90AY.mp4
Katy Perry - Firework-[超清现场-584M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwu6x4gUo_N_BpwM.mp4
Green Day - 21 Guns-[超清-686M.mpg-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgv_2x4gUowLO6pwY.mp4
Carrie Underwood - See You Again-[超清-136M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgo_ix4gUo5PWpJA.mp4
Kelly Clarkson - Stronger (What Doesn&#39;t Kill You)-[超清-155M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnuGx4gUo4PvMDA.mp4
Owl City - When Can I See You Again-[超清-117M.avi-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgqN6x4gUo086HzAc.mp4
Kelly.Clarkson.-.[Behind.These.Hazel.Eyes]-[超清-386M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgv9Wx4gUoq9fwxQQ.mp4
Ciline Dion- My heart will go on（中文字幕）-[高清现场-355M.mkv-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2J2x4gUoou-alQI.mp4
Beyonce.Knowles-Halo-[高清现场-217M.mkv-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgpZyx4gUokPbA8wE.mp4
Rihanna - Diamonds-[超清现场-427M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6N6w4gUo3oXE8gU.mp4
Pixie Lott - All About Tonight MUCHHD-[超清-300M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9d2w4gUojPGomQY.mp4

MV10,#genre#
Madonna - Girls Gone Wild-[超清-252M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjd2w4gUou--ljQE.mp4
Lee Ann Womack – I May Hate Myself In The Morning-[超清-416M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmtyw4gUo942cqwE.mp4
Green Day - Boulevard Of Broken Dreams -[超清-318M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3tmw4gUo6tLDmAE.mp4
Carly Rae Jepsen - Call Me Maybe -[超清-316M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyoHrhQYoytz3Cw.mp4
迈克尔 杰克逊-月球漫步镜中人-[超清现场-423M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg67Kw4gUoruTbiAM.mp4
夏奇拉-Shakira Ft. Pitbull - Rabiosa-[超清-240M.m2ts.-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgppuv4gUo5qiRxQM.mp4
Jason Derulo - Breathing -[102M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3euu4gUoiIGFnwQ.mp4
布兰妮－Britney Spears - Till The World Ends -[171M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2oOt4gUo1ObZtQc.mp4
节奏超棒欧美ＭＶ-卡莉·蕾·吉普森 - Curiosity-[72M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgq4Ot4gUo_JS5jgI.mp4
贾斯汀·比伯－Beauty And A Beat-[209M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4-6s4gUo9Obd_QE.mp4
欧美大气摇滚MV-Within Temptation - Faster-[119M.mp4-720P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0v2s4gUomJrUiAY.mp4
凯莉-克莱森－what-doesnt-kill you-劲爆电音摇滚单曲-[213M.mkv-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgrvus4gUomJiqYg.mp4
战前女神 - Need You Now-[374M.ts-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAglPas4gUo4MqDxQE.mp4
夏奇拉 - Loca-[140M.mp4-1080P],https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2eCs4gUo6InosQQ.mp4
